strain_name,biotic_relationship,specific_host,project_name,Isolate,env_material,IsolateNum,SampleState,SamplePlot,SampleRep,SampleID,Media,Reps.denominator,Morpho2
Root_474,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_474,Root,474,WA,N,3,WA-N-3,GYRBA,10,WA-5-47
Root_475,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_475,Root,475,WA,N,3,WA-N-3,1/2PDA++,10,WA-5-15
Root_482,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_482,Root,482,IN,SW,5,IN-SW-5,GYRBA,10,IN-5-9
Root_485,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_485,Root,485,IN,SW,5,IN-SW-5,1/2PDA++,10,IN-5-10
Root_507,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_507,Root,507,WA,N,18,WA-N-18,GYRBA,10,WA-5-39
Root_509,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_509,Root,509,IN,SW,6,IN-SW-6,Armillaria,10,IN-5-6
Root_512,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_512,Root,512,IN,SW,15,IN-SW-15,MSJ,10,IN-6-1
Root_519,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_519,Root,519,WA,SW,6,WA-SW-6,MSJ,10,WA-6-4
Root_525,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_525,Root,525,IN,NE,6,IN-NE-6,SFA,10,IN-6-4
Root_535,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_535,Root,535,WA,N,16,WA-N-16,GYRBA,10,WA-6-10
Root_536,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_536,Root,536,WA,N,16,WA-N-16,GYRBA,10,WA-6-11
Root_537,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_537,Root,537,WA,SW,10,WA-SW-10,MSJ,10,WA-6-12
Root_542,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_542,Root,542,IN,SW,12,IN-SW-12,GYRBA,10,IN-6-8
Root_551,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_551,Root,551,WA,SE,19,WA-SE-19,GYRBA,10,WA-6-3
Root_554,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_554,Root,554,IN,SW,1,IN-SW-1,SFA,10,IN-6-11
Root_567,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_567,Root,567,WA,N,18,WA-N-18,MSJ,10,WA-7-4
Root_568,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_568,Root,568,WA,N,18,WA-N-18,MSJ,10,WA-7-5
Root_570,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_570,Root,570,WA,N,18,WA-N-18,MSJ,10,WA-7-7
Root_573,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_573,Root,573,IN,SW,9,IN-SW-9,GYRBA,10,IN-7-3
Root_575,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_575,Root,575,IN,SW,9,IN-SW-9,GYRBA,10,IN-7-18
Root_579,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_579,Root,579,IN,SW,12,IN-SW-12,1/2PDA++,10,IN-7-6
Root_581,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_581,Root,581,IN,NE,17,IN-NE-17,SFA,10,Single
Root_583,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_583,Root,583,WA,SW,6,WA-SW-6,GYRBA,10,WA-7-9
Root_584,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_584,Root,584,WA,N,2,WA-N-2,SFA,10,WA-7-10
Root_585,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_585,Root,585,IN,NE,8,IN-NE-8,1/2PDA++,10,WA-7-13-1
Root_586,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_586,Root,586,WA,SE,16,WA-SE-16,MSJ,10,WA-7-11
Root_59,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_59,Root,59,WA,SE,15,WA-SE-15,GYRBA,10,WA-1-7
Root_591,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_591,Root,591,WA,N,12,WA-N-12,SFA,10,WA-7-14
Root_613,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_613,Root,613,WA,N,3,WA-N-3,MSJ,10,WA-7-16
Root_615,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_615,Root,615,WA,SW,6,WA-SW-6,Armillaria,10,WA-7-17
Root_616,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_616,Root,616,WA,SW,5,WA-SW-5,Armillaria,10,WA-7-13
Root_618,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_618,Root,618,IN,NE,6,IN-NE-6,Armillaria,10,IN-7-14
Root_620,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_620,Root,620,IN,SW,10,IN-SW-10,GYRBA,10,IN-7-4
Root_625,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_625,Root,625,IN,SW,1,IN-SW-1,1/2PDA++,10,IN-7-16
Root_631,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_631,Root,631,WA,SE,1,WA-SE-1,MSJ,10,WA-7-13-2
Root_634,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_634,Root,634,WA,N,9,WA-N-9,GYRBA,10,WA-7-20
Root_637,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_637,Root,637,IN,SW,9,IN-SW-9,MSJ,10,IN-7-13
Root_638,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_638,Root,638,WA,SE,10,WA-SE-10,MSJ,10,WA-7-13
Root_71,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_71,Root,71,WA,SE,18,WA-SE-18,GYRBA,10,WA-1-9
Root_8,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_8,Root,8,WA,SE,3,WA-SE-3,Armillaria,10,WA-1-4
Root_81,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_81,Root,81,IN,SW,14,IN-SW-14,GYRBA,10,IN-1-10
Root_88,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_88,Root,88,IN,NE,11,IN-NE-11,GYRBA,10,IN-1-12
Root_103,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_103,Root,103,IN,NE,13,IN-NE-13,MSJ,10,IN-1-7
Root_105,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_105,Root,105,IN,NE,13,IN-NE-13,GYRBA,10,IN-2-1
Root_288,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_288,Root,288,WA,N,2,WA-N-2,SFA,10,WA-3-19
Root_306_2,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_306_2,Root,306,WA,SW,4,WA-SW-4,GYRBA,10,WA-4-9-2
Root_307_1,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_307_1,Root,307,WA,SW,4,WA-N-11,SFA,10,Single
Root_310_2,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_310_2,Root,310,WA,SW,4,WA-SW-4,1/2PDA++,10,WA-4-9-2
Root_311_2,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_311_2,Root,311,WA,SW,4,WA-SW-4,Armillaria,10,WA-4-5
Root_420,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_420,Root,420,WA,N,6,WA-N-6,MSJ,10,WA-5-21
Root_463,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_463,Root,463,WA,SE,19,WA-SE-19,GYRBA,10,WA-5-42
Root_476,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_476,Root,476,WA,N,3,WA-N-3,1/2PDA++,10,WA-5-48
Root_527,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_527,Root,527,WA,N,12,WA-N-12,MSJ,10,WA-6-6
Root_10,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_10,Root,10,WA,SE,3,WA-SE-3,Armillaria,10,WA-1-1
Root_131,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_131,Root,131,WA,N,1,WA-N-1,GYRBA,10,WA-2-9
Root_145,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_145,Root,145,IN,NE,17,IN-NE-17,Armillaria,10,IN-2-4
Root_146,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_146,Root,146,IN,NE,17,IN-NE-17,GYRBA,10,IN-2-4
Root_149,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_149,Root,149,IN,NE,17,IN-NE-17,GYRBA,10,IN-2-7
Root_150,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_150,Root,150,IN,NE,17,IN-NE-17,MSJ,10,IN-2-7
Root_178,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_178,Root,178,WA,SW,2,WA-SW-2,1/2PDA++,10,WA-3-2
Root_2,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_2,Root,2,WA,SE,3,WA-SE-3,1/2PDA++,10,WA-1-2
Root_232,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_232,Root,232,IN,NE,4,IN-NE-4,1/2PDA++,10,IN-3-10
Root_271,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_271,Root,271,IN,SW,2,IN-SW-2,MSJ,10,IN-3-18
Root_290,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_290,Root,290,WA,N,14,WA-N-14,SFA,10,WA-3-21
Root_335,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_335,Root,335,IN,NE,2,IN-NE-2,SFA,10,IN-4-5
Root_346,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_346,Root,346,IN,NE,2,IN-NE-2,Armillaria,10,IN-4-3
Root_388,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_388,Root,388,IN,SW,3,IN-SW-3,MSJ,10,IN-5-2
Root_4,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_4,Root,4,WA,SE,3,WA-SE-3,1/2PDA++,10,WA-1-1
Root_414,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_414,Root,414,WA,SW,19,WA-SW-19,GYRBA,10,WA-5-16
Root_43,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_43,Root,43,WA,SE,15,WA-SE-15,1/2PDA++,10,WA-1-2
Root_448,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_448,Root,448,WA,SE,30-5,WA-SE-30-5,1/2PDA++,10,WA-5-20
Root_454,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_454,Root,454,WA,N,3,WA-N-3,1/2PDA++,10,WA-5-4
Root_465,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_465,Root,465,WA,SE,19,WA-SE-19,GYRBA,10,WA-5-41
Root_478,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_478,Root,478,IN,NE,16,IN-NE-16,Armillaria,10,IN-5-2
Root_49,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_49,Root,49,WA,SE,15,WA-SE-15,1/2PDA++,10,WA-1-2
Root_503,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_503,Root,503,WA,N,18,WA-N-18,GYRBA,10,WA-5-16
Root_508,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_508,Root,508,WA,N,18,WA-N-18,GYRBA,10,WA-5-52
Root_511,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_511,Root,511,WA,N,11,WA-N-11,GYRBA,10,WA-6-1
Root_516,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_516,Root,516,WA,SE,20,WA-SE-20,GYRBA,10,WA-6-2
Root_523,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_523,Root,523,IN,NE,5,IN-NE-5,MSJ,10,IN-6-3
Root_524,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_524,Root,524,IN,NE,5,IN-NE-5,MSJ,10,IN-6-3
Root_526,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_526,Root,526,IN,NE,6,IN-NE-6,SFA,10,IN-6-4
Root_528,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_528,Root,528,WA,N,12,WA-N-12,MSJ,10,WA-6-6
Root_532,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_532,Root,532,IN,NE,2,IN-NE-2,SFA,10,IN-6-6
Root_533,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_533,Root,533,WA,N,16,WA-N-16,1/2PDA++,10,WA-6-8
Root_560,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_560,Root,560,WA,SE,6,WA-SE-6,MSJ,10,WA-7-2
Root_561,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_561,Root,561,WA,SE,6,WA-SE-6,MSJ,10,WA-7-2
Root_591,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_591,Root,591,WA,N,12,WA-N-12,SFA,10,WA-7-14
Root_595,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_595,Root,595,WA,N,9,WA-N-9,1/2PDA++,10,WA-7-8
Root_596,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_596,Root,596,WA,SE,6,WA-SE-6,GYRBA,10,WA-7-15
Root_597,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_597,Root,597,WA,SE,6,WA-SE-6,GYRBA,10,WA-7-15
Root_6,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_6,Root,6,WA,SE,3,WA-SE-3,Armillaria,10,WA-1-1
Root_606,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_606,Root,606,IN,NE,2,IN-NE-2,1/2PDA++,10,IN-7-10
Root_619,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_619,Root,619,WA,SE,8,WA-SE-8,MSJ,10,WA-7-3
Root_621,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_621,Root,621,IN,SW,10,IN-SW-10,GYRBA,10,IN-7-15
Root_632,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_632,Root,632,WA,SW,6,WA-SW-6,Armillaria,10,WA-7-15
Root_635,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_635,Root,635,IN,NE,2,IN-NE-2,GYRBA,10,IN-7-9
Root_64,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_64,Root,64,WA,SE,17,WA-SE-17,MSJ,10,WA-1-2
Root_642,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_642,Root,642,WA,N,18,WA-N-18,GYRBA,10,M-8-2
Root_643,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_643,Root,643,WA,NE,16,WA-NE-16,GYRBA,10,M-8-1
Root_645,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_645,Root,645,WA,SE,20,WA-SE-20,MSJ,10,Single
Root_646,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_646,Root,646,IN,NE,6,IN-NE-6,1/2PDA++,10,M-8-3
Root_647,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_647,Root,647,IN,SW,6,IN-SW-6,GYRBA,10,Single
Root_649,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_649,Root,649,IN,SW,6,IN-SW-6,GYRBA,10,M-8-5
Root_652,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_652,Root,652,IN,NE,16,IN-NE-16,1/2PDA++,10,M-8-6
Root_653,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_653,Root,653,WA,SE,10,WA-SE-10,Armillaria,10,M-8-7
Root_654,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_654,Root,654,WA,SE,10,WA-SE-10,Armillaria,10,M-8-9
Root_655,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_655,Root,655,IN,NE,16,IN-NE-16,Armillaria,10,M-8-8
Root_656,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_656,Root,656,WA,SW,3,WA-SW-3,Armillaria,10,M-8-17
Root_657,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_657,Root,657,IN,SW,5,IN-SW-5,MSJ,10,M-8-16
Root_676,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_676,Root,676,IN,NE,7,IN-NE-7,MSJ,10,M-8-13
Root_68,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_68,Root,68,WA,SE,18,WA-SE-18,Armillaria,10,WA-1-1
Root_78,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_78,Root,78,IN,SW,14,IN-SW-14,GYRBA,10,IN-1-6
Root_85,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_85,Root,85,IN,NE,11,IN-NE-11,Armillaria,10,IN-1-11
Root_91,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_91,Root,91,IN,NE,11,IN-NE-11,GYRBA,10,IN-1-11
Root_98,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_98,Root,98,IN,SW,14,IN-SW-14,GYRBA,10,IN-1-6
Canker_20,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_20,Canker,20,WA,N,7,WA-N-7,1/2PDA++,5,CM-11
Canker_71,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_71,Canker,71,WA,SE,16,WA-SE-16,1/2PDA++,4,CM-2
Canker_75,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_75,Canker,75,WA,SE,8,WA-SE-8,1/2PDA++,5,Single
Canker_64,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_64,Canker,64,IN,NE,13,IN-NE-13,1/2PDA++,5,CM-4
Canker_98,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_98,Canker,98,WA,SW,14,WA-SW-14,1/2PDA++,5,CM-33
Canker_130,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_130,Canker,130,IN,NE,9,IN-NE-9,1/2PDA++,5,CM-44
Canker_29,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_29,Canker,29,WA,SE,1,WA-SE-1,1/2PDA++,3,CM-19
Canker_50,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_50,Canker,50,IN,NE,17,IN-NE-17,1/2PDA++,5,CM-13
Canker_8,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_8,Canker,8,IN,NE,4,IN-NE-4,1/2PDA++,5,CM-16
Canker_94,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_94,Canker,94,WA,SW,7,WA-SW-7,1/2PDA++,2,CM-35
Root_114,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_114,Root,114,IN,SW,15,IN-SW-15,SFA,10,IN-2-2
Root_115,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_115,Root,115,IN,NE,12,IN-NE-12,GYRBA,10,IN-2-3
Root_254,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_254,Root,254,IN,NE,6,IN-NE-6,GYRBA,10,IN-3-13
Root_279,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_279,Root,279,IN,NE,8,IN-NE-8,GYRBA,10,IN-3-23
Root_285,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_285,Root,285,IN,NE,11,IN-NE-11,MSJ,10,IN-3-25
Root_286,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_286,Root,286,IN,NE,11,IN-NE-11,MSJ,10,IN-3-26
Root_310_1,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_310_1,Root,310,WA,SW,4,WA-N-11,SFA,10,WA-4-9-1
Root_319,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_319,Root,319,WA,SW,8,WA-SW-8,1/2PDA++,10,Single
Root_40,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_40,Root,40,IN,NE,13,IN-NE-13,Armillaria,10,IN-1-8
Root_406,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_406,Root,406,WA,NE,3,WA-NE-3,MSJ,10,WA-5-14
Root_421,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_421,Root,421,WA,N,6,WA-N-6,MSJ,10,WA-5-22
Root_423,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_423,Root,423,WA,N,6,WA-N-6,1/2PDA++,10,WA-5-24
Root_431,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_431,Root,431,WA,SW,3,WA-SW-3,1/2PDA++,10,WA-5-14
Root_449,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_449,Root,449,WA,SE,30-5,WA-SE-30-5,MSJ,10,WA-5-36
Root_483,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_483,Root,483,IN,SW,5,IN-SW-5,GYRBA,10,IN-5-8
Root_488,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_488,Root,488,WA,SE,20,WA-SE-20,Armillaria,10,WA-5-49
Root_500,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_500,Root,500,WA,N,18,WA-N-18,Armillaria,10,WA-5-50
Root_521,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_521,Root,521,IN,NE,5,IN-NE-5,MSJ,10,IN-6-2
Root_529,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_529,Root,529,IN,NE,11,IN-NE-11,SFA,10,IN-6-5-1
Root_594,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_594,Root,594,WA,SE,8,WA-SE-8,Armillaria,10,WA-7-11
Root_629,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_629,Root,629,WA,N,7,WA-N-7,MSJ,10,WA-7-6
Root_63,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_63,Root,63,WA,SE,17,WA-SE-17,MSJ,10,WA-1-8
Root_641,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_641,Root,641,WA,SE,10,WA-SE-10,MSJ,10,M-8-13
Root_95,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_95,Root,95,IN,NE,11,IN-NE-11,GYRBA,10,IN-1-13