State,Block,Rep,Caliper,Displacement,Inoculation
IN,NE,1,6.8,60,Gm
IN,NE,2,5.3,50,Gm
IN,NE,3,7.2,90,Gm
IN,NE,4,8.2,70,Gm
IN,NE,5,7.1,90,Gm
IN,NE,6,6.6,25,Gm
IN,NE,7,4.7,60,Gm
IN,NE,8,7.5,80,Gm
IN,NE,9,6.8,60,Gm
IN,NE,11,7.4,30,Gm
IN,NE,12,6,100,Gm
IN,NE,13,8.2,180,Gm
IN,NE,16,7,20,Gm
IN,NE,17,6.1,10,Gm
IN,SW,1,7.7,100,Gm
IN,SW,2,8.7,220,Gm
IN,SW,3,10.5,160,Gm
IN,SW,4,5.2,120,Gm
IN,SW,5,7.6,80,Gm
IN,SW,6,5.5,70,Gm
IN,SW,9,6.7,60,Gm
IN,SW,12,7.2,80,Gm
IN,SW,13,8.2,40,Gm
IN,SW,14,6,40,Gm
IN,SW,15,8.1,80,Gm
IN,SW,10,4.5,40,Gm
WA,N,1,7.1,100,Gm
WA,N,4,9.1,50,Gm
WA,N,6,8.9,160,Gm
WA,N,8,7.2,120,Gm
WA,N,9,6.2,20,Gm
WA,N,11,9,260,Gm
WA,N,16,9.4,160,Gm
WA,N,17,7.8,40,Gm
WA,N,2,8.3,80,Sham
WA,N,3,8,110,Sham
WA,N,5,9.2,140,Sham
WA,N,7,7.8,110,Sham
WA,N,12,7,80,Sham
WA,N,14,7,160,Sham
WA,N,18,9.5,240,Sham
WA,SE,2,8.5,130,Gm
WA,SE,3,6.4,20,Gm
WA,SE,6,9.1,140,Gm
WA,SE,8,8.7,100,Gm
WA,SE,9,8.1,,Gm
WA,SE,11,11,180,Gm
WA,SE,13,9.3,80,Gm
WA,SE,15,11.2,160,Gm
WA,SE,18,10.9,120,Gm
WA,SE,19,7.3,60,Gm
WA,SE,1,9.5,140,Sham
WA,SE,4,10.5,160,Sham
WA,SE,5,9.1,140,Sham
WA,SE,7,9.1,180,Sham
WA,SE,10,11.4,100,Sham
WA,SE,12,8.7,40,Sham
WA,SE,14,10.1,120,Sham
WA,SE,16,10.6,160,Sham
WA,SE,17,9.4,200,Sham
WA,SE,20,10.3,160,Sham
WA,SW,1,11,30,Gm
WA,SW,2,11,220,Gm
WA,SW,3,10.3,200,Gm
WA,SW,5,9,80,Gm
WA,SW,6,8.1,150,Gm
WA,SW,8,8.2,120,Gm
WA,SW,9,8.3,290,Gm
WA,SW,19,7.4,200,Gm
WA,SW,4,9.1,160,Sham
WA,SW,7,9.4,120,Sham
WA,SW,10,10.5,130,Sham
WA,SW,12,6.1,60,Sham
WA,SW,13,NA,NA,Gm
WA,N,13,NA,NA,Sham