State,Block,Plant,Area
IN,NE,1,49.4
IN,NE,1,73.476
IN,NE,2,45.716
IN,NE,2,50.096
IN,NE,3,19.193
IN,NE,3,12.264
IN,NE,4,18.543
IN,NE,4,27.061
IN,NE,5,12.204
IN,NE,5,11.304
IN,NE,6,35.126
IN,NE,6,34.602
IN,NE,7,23.577
IN,NE,7,30.95
IN,NE,8,95.916
IN,NE,8,40.523
IN,NE,9,30.13
IN,NE,9,37.401
IN,NE,11,11.467
IN,NE,11,14.759
IN,NE,12,0
IN,NE,12,14.359
IN,NE,13,14.977
IN,NE,13,29.995
IN,NE,16,22.488
IN,NE,16,21.711
IN,NE,17,8.148
IN,NE,17,51.675
IN,SW,1,39.075
IN,SW,1,69.983
IN,SW,2,49.269
IN,SW,2,71.373
IN,SW,3,49.304
IN,SW,3,22.975
IN,SW,4,45.747
IN,SW,4,30.983
IN,SW,5,28.091
IN,SW,5,26.897
IN,SW,6,69.603
IN,SW,6,63.381
IN,SW,9,43.949
IN,SW,9,18.577
IN,SW,10,28.188
IN,SW,10,21.865
IN,SW,12,86.331
IN,SW,12,75.371
IN,SW,14,63.611
IN,SW,14,108.934
IN,SW,15,65.81
IN,SW,15,56.78
WA,N,1,27.978
WA,N,1,52.015
WA,N,2,9.498
WA,N,2,7.668
WA,N,3,5.091
WA,N,3,6.261
WA,N,4,94.645
WA,N,4,94.645
WA,N,5,10.604
WA,N,5,11.764
WA,N,6,32.799
WA,N,6,36.538
WA,N,7,11.818
WA,N,7,5.81
WA,N,8,42.103
WA,N,8,22.421
WA,N,9,325.216
WA,N,9,325.216
WA,N,11,74.725
WA,N,11,40.334
WA,N,13,5.448
WA,N,13,0
WA,N,14,4.467
WA,N,14,4.107
WA,N,16,21.848
WA,N,16,17.274
WA,N,17,109.155
WA,N,17,90.788
WA,N,18,8.112
WA,N,18,6.559
WA,SE,1,2.328
WA,SE,1,5.978
WA,SE,2,66.167
WA,SE,2,252.583
WA,SE,3,8.458
WA,SE,3,40.338
WA,SE,4,15.896
WA,SE,4,10.292
WA,SE,5,9.884
WA,SE,5,6.896
WA,SE,6,52.233
WA,SE,6,34.519
WA,SE,7,0
WA,SE,7,0
WA,SE,8,23.053
WA,SE,8,84.448
WA,SE,9,54.696
WA,SE,9,39.019
WA,SE,10,6.424
WA,SE,10,0
WA,SE,11,49.916
WA,SE,11,75.29
WA,SE,12,10.114
WA,SE,12,10.495
WA,SE,13,15.193
WA,SE,13,22.225
WA,SE,14,10.578
WA,SE,14,5.432
WA,SE,15,28.453
WA,SE,15,128.72
WA,SE,16,6.986
WA,SE,16,10.113
WA,SE,17,6.249
WA,SE,17,8.116
WA,SE,18,27.001
WA,SE,18,14.811
WA,SE,19,67.697
WA,SE,19,63.911
WA,SE,20,4.464
WA,SE,20,6.7
WA,SW,1,51.01
WA,SW,1,109.29
WA,SW,2,58.769
WA,SW,2,33.789
WA,SW,3,66.223
WA,SW,3,39.514
WA,SW,4,8.422
WA,SW,4,8.093
WA,SW,5,27.932
WA,SW,5,30.699
WA,SW,6,22.506
WA,SW,6,14.372
WA,SW,7,15.097
WA,SW,7,10.025
WA,SW,8,7.974
WA,SW,8,9.332
WA,SW,9,8.629
WA,SW,9,26.781
WA,SW,10,12.236
WA,SW,10,10.175
WA,SW,12,10.746
WA,SW,12,11.943
WA,SW,13,27.65
WA,SW,13,26.94
WA,SW,19,32.465
WA,SW,19,14.239